Question,Answer,Category
How do I reset my university email password?,"To reset your university email password, visit the IT support portal or use the password reset link on the email login page.",Technical
Can the chatbot help me reset passwords other than email?,You can access the student portal and reset other passwords through the chatbot if enabled.,Technical
How do I register for courses online?,Course registration is done online via the student portal; instructions are provided in the registration section.,Registration
What are the deadlines for course registration and withdrawal?,Deadlines for course registration and withdrawal vary by semester; these are listed in the academic calendar.,Registration
What is the policy for withdrawing from a course mid-semester?,The withdrawal policy is outlined in the academic calendar and student handbook; contact academic affairs for details.,Academic
Can the chatbot recommend courses based on my interests?,"Yes, the chatbot can recommend courses aligned with your interests based on your profile and preferences.",Academic
How do I check my exam schedule and results?,Check your exam schedule and results through the student portal or ask the chatbot to guide you.,Academic
Can the chatbot schedule appointments with university staff?,The chatbot can assist with scheduling appointments with university staff where integrated.,Support
Where can I find the academic calendar?,The academic calendar is available on the official website under Academic Resources.,Academic
Can I get information on campus events and workshops?,Chatbot can provide current information on campus events and workshops.,Student Life
How do I join student clubs and organizations?,Join student clubs and organizations through the student activities office or chatbot event listings.,Student Life
How do I provide feedback on the chatbot's responses?,Provide feedback through the chatbot's built-in feedback option or via the university's support channels.,Support
How does natural language processing (NLP) improve chatbot accuracy?,"NLP helps the chatbot understand context, intent, and variations in user language for better responses.",Technical
How does the AI chatbot understand and respond to my queries?,The chatbot uses natural language processing (NLP) to accurately interpret and respond to your questions.,Technical
Are chatbot conversations monitored or recorded?,Conversations may be monitored anonymously to improve service quality but not shared externally.,Support
Is my privacy protected when I use the chatbot?,Your privacy is protected; conversations may be monitored anonymously for improvement and not shared outside the university.,Support
What happens if the chatbot cannot answer my question?,"If the chatbot cannot answer, it will direct you to human support or provide alternative resources.",Support
What types of questions are best suited for the chatbot?,"The chatbot is best suited for frequently asked questions about university services, policies, and general information.",General
How often is the chatbot's FAQ database updated?,The chatbot's FAQ database is updated regularly to include the latest university information.,Technical
Does the chatbot support multiple languages?,The chatbot supports multiple languages to assist diverse student needs.,General
How do I use the chatbot on my mobile device?,Access the chatbot through the university's official mobile app or mobile web browser version.,Technical
Can the chatbot assist with career services and job placements?,"The chatbot can provide information on career services, job placements, and related resources.",Student Life
How is the chatbot trained to improve over time?,"The chatbot learns from interactions, updated data, and feedback to continuously improve its responses.",Technical
What is TF-IDF and how is it used in the chatbot?,TF-IDF is a technique for identifying important words in queries to find relevant answers from the chatbot database.,Technical
What are the campus safety protocols and emergency contacts?,Campus safety protocols and emergency contacts are listed on the security office page and chatbot FAQ.,Facilities
How do I report academic misconduct or harassment?,Report academic misconduct or harassment confidentially through the registrar or student affairs; the chatbot can guide you.,Academic
How do I apply for scholarships or financial aid?,Apply for scholarships or financial aid via the student financial services page or speak to a financial aid advisor.,Financial
Where do I request my official academic transcript?,Request official academic transcripts from the registrar's office website or in person.,Academic
Where is the main university library located?,The main university library is located in the Sterling Hall building on the west side of campus.,Facilities
How do I replace a lost or stolen student ID card?,Lost or stolen student ID cards can be replaced by applying through the student services office.,Support
What are the library's opening and closing hours?,Library opening hours are available on the library's official website or via the chatbot.,Facilities
How do I access online learning resources and e-books?,Online learning resources and e-books are accessible via the library's website or the chatbot.,Academic
Where do I find information on housing and dormitories?,Housing and dormitory information is found under student affairs on the university website.,Facilities
What campus health services are available to students?,"Campus health services include counseling, medical care, and wellness programs; check the health center page.",Student Life
What mental health resources are available for students?,Mental health resources are available confidentially via university counseling services.,Student Life
How can I get technical support for university software?,Contact the IT helpdesk or use the chatbot's support feature for technical assistance.,Technical
How can I contact my academic advisor?,Contact your academic advisor via email or through the student portal; the chatbot can provide contact details.,Academic
What is the process for changing my major or program?,Submit a request through the registrar's office or the relevant online form to change your major or program.,Academic
How do international students apply for visas and permits?,The international student office supports visa and permit applications; contact them directly or via chatbot.,Support
How do I connect with the International Student Office?,Contact details for the International Student Office are available on the university website and via the chatbot.,Support
Can faculty use the chatbot to assist students?,"Faculty can use the chatbot to answer student queries, share resources, and coordinate academic support.",General
Can the chatbot help with parking and transportation information?,Parking and transportation info can be provided by the chatbot.,Facilities
What ethical considerations are involved in using AI chatbots?,"Ethical use includes data privacy, transparency, fairness, and ensuring the chatbot supports rather than replaces human help.",General
